201,ESG Float 4 mm,,,"04,0",No,,"10,0",
202,ESG Float 5 mm,,,"05,0",No,,"12,5",
203,ESG Float 6 mm,,,"06,0",No,,"15,0",
204,ESG Float 8 mm,,,"08,0",No,,"20,0",
205,ESG Float 10 mm,,,"10,0",No,,"25,0",
206,ESG Float 12 mm,,,"12,0",No,,"30,0",
207,ESG Extraweiss 4 mm,,,"04,0",Yes,,"10,0",
208,ESG Extraweiss 5 mm,,,"05,0",Yes,,"12,5",
209,ESG Extraweiss 6 mm,,,"06,0",Yes,,"15,0",
210,ESG Extraweiss 8 mm,,,"08,0",Yes,,"20,0",
211,ESG Extraweiss 10 mm,,,"10,0",Yes,,"25,0",
212,ESG Extraweiss 12 mm,,,"12,0",Yes,,"30,0",
213,ESG H Float 4 mm,,,"04,0",No,,"10,0",
214,ESG H Float 5 mm,,,"05,0",No,,"12,5",
215,ESG H Float 6 mm,,,"06,0",No,,"15,0",
216,ESG H Float 8 mm,,,"08,0",No,,"20,0",
217,ESG H Float 10 mm,,,"10,0",No,,"25,0",
218,ESG H Float 12 mm,,,"12,0",No,,"30,0",
219,ESG H Extraweiss 4 mm,,,"04,0",Yes,,"10,0",
220,ESG H Extraweiss 5 mm,,,"05,0",Yes,,"12,5",
221,ESG H Extraweiss 6 mm,,,"06,0",Yes,,"15,0",
222,ESG H Extraweiss 8 mm,,,"08,0",Yes,,"20,0",
223,ESG H Extraweiss 10 mm,,,"10,0",Yes,,"25,0",
224,ESG H Extraweiss 12 mm,,,"12,0",Yes,,"30,0",