101,Brandschutzglas EI30,,,EI30,"15,0",,No,Inside,mono,N/A,"5,4",38,"37,5",,,-,,,
102,Brandschutzglas EI30 mit VSG,,,,"19,0",,Yes,Inside/Outside,mono,N/A,"5,4",38,"47,5",,,-,,,
103,FIRESWISS FOAM 30-15,,8893,EI30,"15,0",No,No,Inside,mono,Glas Trösch,"5,4",38,"37,5",No,No,-,3060,2085,
104,FIRESWISS FOAM 30-16 O Sat.,,8922,EI30,"16,0",No,No,Inside,mono,Glas Trösch,"5,4",38,"40,0",No,No,-,3060,2085,
105,FIRESWISS FOAM 30-16 O Spez 33,,8949,EI30,"16,0",No,No,Inside,mono,Glas Trösch,"5,4",38,"40,0",No,No,-,3060,2085,
106,FIRESWISS FOAM 30-16 O Spez 59,,8950,EI30,"16,0",No,No,Inside,mono,Glas Trösch,"5,4",38,"40,0",No,No,-,3060,2085,
107,FIRESWISS FOAM 30-19,,8912,EI30,"19,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",39,"47,5",Yes,No,-,3060,2085,
108,FIRESWISS FOAM 30-19 Mattfolie,,8936,EI30,"19,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",39,"47,5",Yes,No,-,3060,2085,
109,FIRESWISS FOAM 30-19 Schallschutz,,8951,EI30,"19,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",40,"47,5",No,No,-,3060,2085,
110,FIRESWISS FOAM 30-19 P4A,,8965,EI30,"19,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",39,"47,5",No,No,RC 2 (WK 2) / P4A,3060,2085,
111,FIRESWISS FOAM 30-19 P5A,,8921,EI30,"23,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",39,"57,5",No,No,RC 3 (WK 3) / P5A,3060,2085,
112,FIRESWISS FOAM 30-19/1,,8977,EI30,"23,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",39,"57,5",Yes,Yes,-,3060,2085,
113,PYROBEL 16,,8875,EI30,"17,0",No,No,Inside,mono,AGC,"5,4",39,"42,5",No,No,-,3170,2210,
114,PYROBEL 16 CV (Extraweiss),,8985,EI30,"17,0",Yes,No,Inside,mono,AGC,"5,4",39,"42,5",No,No,-,3170,2210,
115,PYROBEL 16 EG,,8987,EI30,"21,0",No,Yes,Inside/Outside,mono,AGC,"5,4",39,"52,5",Yes,No,-,3170,2210,
116,PYROBEL 16 EG CV (Extraweiss),,8976,EI30,"21,0",Yes,Yes,Inside/Outside,mono,AGC,"5,4",39,"52,5",Yes,No,-,3170,2210,
117,FRAMESTAR 16,,5655,EI30,"17,0",No,No,Inside,mono,AGC,"5,4",39,"42,5",No,No,-,3170,2210,
118,FRAMESTAR 16 CV (Extraweiss),,5660,EI30,"17,0",Yes,No,Inside,mono,AGC,"5,4",39,"42,5",No,No,-,3170,2210,
119,FRAMESTAR 16 EG,,8970,EI30,"21,0",No,Yes,Inside/Outside,mono,AGC,"5,4",39,"52,5",Yes,No,-,3170,2210,
120,FRAMESTAR 16 EG (Extraweiss),,8958,EI30,"21,0",Yes,Yes,Inside/Outside,mono,AGC,"5,4",39,"52,5",Yes,No,-,3170,2210,
121,Brandschutzglas EI60,,,EI60,"23,0",,No,Inside,mono,N/A,"5,4",43,"57,5",,,-,,,
122,Brandschutzglas EI60 mit VSG,,,EI60,"27,0",,Yes,Inside/Outside,mono,N/A,"5,4",43,"67,5",,,-,,,
123,FIRESWISS FOAM 60-23,,8913,EI60,"23,0",No,No,Inside,mono,Glas Trösch,"5,4",43,"57,5",No,No,-,3060,2085,
124,FIRESWISS FOAM 60-24 O Sat.,,8961,EI60,"24,0",No,No,Inside,mono,Glas Trösch,"5,4",43,"60,0",No,No,-,3060,2085,
125,FIRESWISS FOAM 60-27,,8914,EI60,"27,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",44,"67,5",No,No,-,3060,2085,
126,FIRESWISS FOAM 60-27 Mattfolie,,8962,EI60,"27,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",44,"67,5",No,No,-,3060,2085,
127,FIRESWISS FOAM 60-27 P4A,,8963,EI60,"27,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",44,"67,5",No,No,RC 2 (WK 2) / P4A,3060,2085,
128,FIRESWISS FOAM 60-27 P5A,,8932,EI60,"31,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",44,"77,5",No,No,RC 3 (WK 3) / P5A,3060,2085,
129,FIRESWISS FOAM 60-27/1,,8925,EI60,"31,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",45,"77,5",Yes,No,-,3060,2085,
130,FIRESWISS FOAM 60-27/2,,8992,EI60,"35,0",No,Yes,Inside/Outside,mono,Glas Trösch,"5,4",45,"87,5",Yes,Yes,-,3060,2085,
131,PYROBEL 25,,8917,EI60,"27,0",No,No,Inside,mono,AGC,"5,4",40,"67,5",No,No,-,3170,2210,
132,PYROBEL 25 CV (Extraweiss),,8991,EI60,"27,0",Yes,No,Inside,mono,AGC,"5,4",40,"67,5",No,No,-,3170,2210,
133,PYROBEL 25 EG,,8974,EI60,"31,0",No,Yes,Inside/Outside,mono,AGC,"5,4",43,"77,5",Yes,No,-,3170,2210,
134,PYROBEL 25 EG CV (Extraweiss),,8993,EI60,"31,0",Yes,Yes,Inside/Outside,mono,AGC,"5,4",43,"77,5",Yes,No,-,3170,2210,
135,FRAMESTAR 25,,5656,EI60,"27,0",No,No,Inside,mono,AGC,"5,4",40,"67,5",No,No,-,3170,2210,
136,FRAMESTAR 25 CV (Extraweiss),,5662,EI60,"27,0",Yes,No,Inside,mono,AGC,"5,4",40,"67,5",No,No,-,3170,2210,
137,FRAMESTAR 25 EG,,8966,EI60,"31,0",No,Yes,Inside/Outside,mono,AGC,"5,4",43,"77,5",Yes,No,-,3170,2210,
138,FRAMESTAR 25 EG CV (Extraweiss),,5666,EI60,"31,0",Yes,Yes,Inside/Outside,mono,AGC,"5,4",43,"77,5",Yes,No,-,3170,2210,
139,Brandschutzglas EI90,,,EI90,"30,0",,No,Inside,mono,N/A,"5,4",42,"75,0",,,-,,,
140,Brandschutzglas EI90 mit VSG,,,EI90,"34,0",,Yes,Inside/Outside,mono,N/A,"5,4",43,"85,0",,,-,,,
141,FIRESWISS FOAM 90-39,,8952,EI90,"39,0",No,No,Inside,mono,Glas Trösch,"5,4",45,"97,5",No,No,-,3060,2085,
142,PYROBEL 90,,8918,EI90,"30,0",No,No,Inside,mono,AGC,"5,4",42,"75,0",No,No,-,3170,2210,
143,PYROBEL 90 EG,,9104,EI90,"34,0",No,Yes,Inside/Outside,mono,AGC,"5,4",43,"85,0",No,No,-,3170,2210,